transaction_id,order_date,customer_id,product_id,channel_id,quantity,unit_price_eur,discount_pct,total_amount_eur,payment_method,status,shipping_cost_eur,year,month,is_return
T0000023,2025-02-03 07:13:00,C00420,P00015,CH02,2,300.39,0,600.78,bank_transfer,completed,4.99,2025,2,False
T0000024,2025-01-23 19:55:00,C01782,P00009,CH02,2,193.38,20,309.41,apple_pay,completed,6.99,2025,1,False
T0000025,2024-07-23 13:48:00,C01277,P00135,CH02,1,90.61,5,86.08,credit_card,completed,6.99,2024,7,False
T0000026,2024-10-18 13:04:00,C00912,P00063,CH04,2,406.92,15,691.76,klarna,completed,3.99,2024,10,False
T0000027,2025-01-23 08:10:00,C01394,P00131,CH03,2,179.38,0,358.76,bank_transfer,completed,6.99,2025,1,False
T0000028,2024-11-17 17:12:00,C00149,P00057,CH01,2,155.69,10,280.24,paypal,completed,0.0,2024,11,False
T0000029,2025-06-28 11:08:00,C00390,P00076,CH02,1,152.77,15,129.85,klarna,completed,3.99,2025,6,False
T0000030,2025-01-06 11:05:00,C00730,P00148,CH04,2,248.55,0,497.1,bank_transfer,cancelled,3.99,2025,1,False
T0000031,2025-05-22 22:29:00,C01079,P00128,CH03,3,255.43,10,689.66,paypal,completed,3.99,2025,5,False
T0000032,2025-04-13 12:40:00,C00172,P00149,CH02,2,166.52,0,333.04,credit_card,completed,0.0,2025,4,False
T0000033,2025-02-27 18:03:00,C00963,P00087,CH03,3,373.8,5,1065.33,credit_card,completed,4.99,2025,2,False
T0000034,2025-06-02 21:14:00,C00503,P00015,CH01,1,300.39,20,240.31,paypal,completed,0.0,2025,6,False
T0000035,2025-06-16 16:53:00,C00239,P00144,CH01,2,316.75,0,633.5,credit_card,completed,4.99,2025,6,False
T0000036,2025-03-03 13:23:00,C00944,P00136,CH03,1,478.0,20,382.4,credit_card,completed,3.99,2025,3,False
T0000037,2024-10-16 21:03:00,C01222,P00136,CH02,1,478.0,5,454.1,bank_transfer,completed,6.99,2024,10,False
T0000039,2024-09-07 11:26:00,C00949,P00093,CH01,2,50.43,15,85.73,credit_card,completed,6.99,2024,9,False
T0000041,2025-02-08 08:16:00,C00343,P00050,CH04,1,43.78,0,43.78,paypal,completed,0.0,2025,2,False
T0000042,2025-01-16 11:28:00,C00177,P00111,CH03,1,48.83,0,48.83,klarna,completed,4.99,2025,1,False
T0000043,2025-02-24 10:30:00,C01618,P00128,CH03,1,255.43,15,217.12,credit_card,completed,0.0,2025,2,False
T0000044,2024-07-28 18:37:00,C00987,P00043,CH02,2,92.64,10,166.75,klarna,completed,4.99,2024,7,False
T0000045,2025-02-18 22:55:00,C01025,P00039,CH02,3,483.04,10,1304.21,klarna,completed,3.99,2025,2,False
T0000046,2024-10-23 13:48:00,C00951,P00019,CH01,2,178.81,0,357.62,paypal,completed,0.0,2024,10,False
T0000047,2024-09-16 10:53:00,C00144,P00030,CH02,2,236.95,0,473.9,credit_card,completed,0.0,2024,9,False
T0000048,2025-03-10 08:14:00,C01646,P00007,CH01,3,182.22,0,546.66,bank_transfer,returned,0.0,2025,3,True
T0000049,2025-06-25 12:19:00,C00564,P00082,CH03,1,19.83,20,15.86,paypal,completed,6.99,2025,6,False
T0000050,2025-04-25 18:40:00,C01961,P00137,CH02,1,66.63,20,53.3,credit_card,completed,6.99,2025,4,False
T0000051,2025-06-25 19:19:00,C01672,P00089,CH05,1,377.97,0,377.97,paypal,completed,6.99,2025,6,False
T0000052,2025-02-08 10:15:00,C01128,P00040,CH04,1,108.96,0,108.96,bank_transfer,completed,4.99,2025,2,False
T0000053,2024-08-22 22:39:00,C00031,P00066,CH01,1,488.17,0,488.17,credit_card,returned,3.99,2024,8,True
T0000054,2025-02-28 08:16:00,C01702,P00078,CH04,3,23.15,15,59.03,credit_card,returned,0.0,2025,2,True
T0000055,2025-06-18 22:27:00,C00018,P00090,CH04,1,175.36,0,175.36,paypal,completed,6.99,2025,6,False
T0000056,2025-05-28 21:11:00,C00641,P00075,CH01,2,206.22,0,412.44,paypal,completed,0.0,2025,5,False
T0000057,2025-05-06 10:00:00,C01715,P00049,CH03,2,417.03,20,667.25,credit_card,completed,4.99,2025,5,False
T0000058,2024-10-11 20:07:00,C00644,P00058,CH03,1,136.28,0,136.28,paypal,completed,4.99,2024,10,False
T0000059,2024-08-07 06:13:00,C01672,P00117,CH05,1,39.16,0,39.16,credit_card,completed,3.99,2024,8,False
T0000060,2025-02-05 17:19:00,C01699,P00049,CH02,3,417.03,15,1063.43,credit_card,completed,3.99,2025,2,False
T0000061,2025-03-30 15:17:00,C00565,P00022,CH01,1,20.11,0,20.11,credit_card,completed,3.99,2025,3,False
T0000063,2025-03-10 20:25:00,C01133,P00131,CH04,2,179.38,10,322.88,apple_pay,completed,0.0,2025,3,False
T0000064,2025-01-14 09:14:00,C00231,P00037,CH02,1,488.35,10,439.52,paypal,completed,3.99,2025,1,False
T0000065,2025-05-20 11:23:00,C00401,P00078,CH01,1,23.15,0,23.15,bank_transfer,completed,4.99,2025,5,False
T0000066,2025-03-25 08:14:00,C01838,P00085,CH02,1,45.13,0,45.13,bank_transfer,completed,6.99,2025,3,False
T0000067,2025-06-18 09:58:00,C01726,P00068,CH01,2,150.18,10,270.32,bank_transfer,cancelled,3.99,2025,6,False
T0000068,2024-10-21 06:53:00,C01910,P00079,CH03,1,40.26,5,38.25,credit_card,completed,3.99,2024,10,False
T0000069,2024-08-08 08:16:00,C01223,P00062,CH02,1,392.06,10,352.85,credit_card,completed,0.0,2024,8,False
T0000070,2025-05-26 12:08:00,C01604,P00101,CH02,2,210.82,15,358.39,credit_card,completed,0.0,2025,5,False
T0000071,2025-02-08 06:51:00,C01180,P00028,CH03,1,127.42,0,127.42,credit_card,completed,4.99,2025,2,False
T0000072,2024-07-10 21:05:00,C01277,P00116,CH04,1,484.41,5,460.19,paypal,completed,6.99,2024,7,False
T0000073,2025-06-30 22:06:00,C00465,P00102,CH03,2,82.93,5,157.57,paypal,completed,4.99,2025,6,False
T0000074,2024-08-25 09:34:00,C00222,P00052,CH03,1,150.44,0,150.44,paypal,returned,4.99,2024,8,True
T0000075,2025-01-01 21:42:00,C01566,P00138,CH01,1,260.75,5,247.71,paypal,completed,6.99,2025,1,False
T0000076,2024-07-21 06:48:00,C00655,P00107,CH01,2,50.97,5,96.84,paypal,completed,3.99,2024,7,False
T0000077,2024-08-23 06:57:00,C01026,P00023,CH05,1,421.11,20,336.89,paypal,completed,3.99,2024,8,False
T0000078,2025-05-19 12:06:00,C01018,P00029,CH03,2,204.96,0,409.92,credit_card,completed,3.99,2025,5,False
T0000079,2025-05-02 06:17:00,C01720,P00122,CH02,3,311.1,0,933.3,apple_pay,completed,3.99,2025,5,False
T0000080,2024-07-20 11:07:00,C00758,P00034,CH02,2,445.99,0,891.98,bank_transfer,completed,6.99,2024,7,False
T0000081,2025-02-01 09:06:00,C00434,P00012,CH03,1,355.85,5,338.06,credit_card,completed,3.99,2025,2,False
T0000082,2024-10-11 12:08:00,C00624,P00045,CH03,2,55.74,15,94.76,paypal,completed,0.0,2024,10,False
T0000083,2025-06-05 13:31:00,C00105,P00111,CH01,2,48.83,0,97.66,klarna,completed,6.99,2025,6,False
T0000084,2025-04-25 15:02:00,C01807,P00129,CH04,2,400.17,20,640.27,klarna,completed,0.0,2025,4,False
T0000085,2025-03-05 12:59:00,C00762,P00131,CH03,3,179.38,0,538.14,apple_pay,completed,3.99,2025,3,False
T0000087,2024-08-21 19:35:00,C01389,P00091,CH01,2,97.87,10,176.17,paypal,completed,6.99,2024,8,False
T0000088,2024-07-04 16:17:00,C01167,P00042,CH01,1,279.86,15,237.88,apple_pay,completed,0.0,2024,7,False
T0000089,2024-10-15 07:26:00,C01097,P00013,CH02,2,448.62,0,897.24,credit_card,completed,0.0,2024,10,False
T0000090,2025-06-20 11:27:00,C01344,P00099,CH01,3,302.94,20,727.06,paypal,completed,4.99,2025,6,False
T0000091,2024-08-09 06:24:00,C01582,P00095,CH01,1,427.39,20,341.91,klarna,completed,6.99,2024,8,False
T0000092,2024-07-16 13:41:00,C01726,P00075,CH02,3,206.22,0,618.66,bank_transfer,completed,0.0,2024,7,False
T0000093,2025-06-02 06:31:00,C01771,P00136,CH04,3,478.0,20,1147.2,credit_card,completed,3.99,2025,6,False
T0000094,2025-03-09 15:18:00,C01988,P00079,CH02,1,40.26,10,36.23,credit_card,completed,4.99,2025,3,False
T0000095,2025-02-18 20:59:00,C01338,P00149,CH03,2,166.52,0,333.04,klarna,completed,4.99,2025,2,False
T0000096,2024-08-21 22:50:00,C01969,P00131,CH04,2,179.38,15,304.95,bank_transfer,cancelled,6.99,2024,8,False
T0000098,2024-11-02 07:33:00,C00989,P00095,CH04,1,427.39,15,363.28,credit_card,completed,0.0,2024,11,False
T0000099,2024-10-11 17:25:00,C00332,P00057,CH04,2,155.69,10,280.24,klarna,completed,0.0,2024,10,False
T0000100,2024-07-31 16:26:00,C01699,P00094,CH02,2,19.28,5,36.63,credit_card,completed,4.99,2024,7,False
T0000101,2025-06-15 07:12:00,C00609,P00132,CH02,1,184.12,20,147.3,klarna,completed,3.99,2025,6,False
T0000102,2024-12-09 21:10:00,C01141,P00097,CH01,1,414.51,20,331.61,credit_card,completed,0.0,2024,12,False
T0000103,2025-05-19 15:51:00,C01717,P00018,CH01,2,161.76,20,258.82,bank_transfer,completed,3.99,2025,5,False
T0000104,2024-07-11 07:38:00,C00260,P00018,CH01,2,161.76,0,323.52,klarna,completed,0.0,2024,7,False
T0000105,2025-03-11 22:00:00,C01192,P00083,CH01,2,401.4,0,802.8,credit_card,completed,6.99,2025,3,False
T0000106,2025-05-01 09:43:00,C01985,P00045,CH02,2,55.74,10,100.33,apple_pay,completed,3.99,2025,5,False
T0000108,2025-03-03 16:44:00,C01169,P00051,CH03,1,394.52,0,394.52,klarna,cancelled,4.99,2025,3,False
T0000109,2025-05-21 21:14:00,C00304,P00042,CH01,3,279.86,0,839.58,klarna,completed,6.99,2025,5,False
T0000111,2024-09-30 17:56:00,C01980,P00108,CH03,1,190.71,5,181.17,credit_card,completed,0.0,2024,9,False
T0000113,2024-07-11 15:01:00,C01756,P00125,CH02,2,285.52,0,571.04,paypal,cancelled,6.99,2024,7,False
T0000114,2024-09-01 09:34:00,C01303,P00116,CH05,3,484.41,0,1453.23,credit_card,completed,6.99,2024,9,False
T0000116,2024-08-05 21:22:00,C00815,P00085,CH01,2,45.13,10,81.23,apple_pay,completed,4.99,2024,8,False
T0000117,2025-01-31 15:17:00,C00839,P00074,CH02,3,182.05,0,546.15,klarna,completed,0.0,2025,1,False
T0000118,2025-03-21 15:31:00,C01871,P00145,CH02,3,419.27,20,1006.25,paypal,completed,4.99,2025,3,False
T0000119,2025-06-20 11:29:00,C01716,P00121,CH02,2,269.36,0,538.72,credit_card,completed,6.99,2025,6,False
T0000120,2024-09-08 06:24:00,C00032,P00126,CH05,2,179.46,0,358.92,bank_transfer,completed,0.0,2024,9,False
T0000121,2024-10-06 21:02:00,C01817,P00101,CH01,1,210.82,5,200.28,credit_card,returned,6.99,2024,10,True
T0000122,2025-06-02 07:16:00,C01671,P00004,CH01,2,63.89,5,121.39,klarna,cancelled,6.99,2025,6,False
T0000123,2025-05-17 15:33:00,C00823,P00085,CH03,1,45.13,0,45.13,credit_card,completed,6.99,2025,5,False
T0000124,2024-07-04 16:27:00,C00536,P00007,CH03,1,182.22,0,182.22,paypal,completed,3.99,2024,7,False
T0000125,2025-04-21 17:51:00,C00204,P00120,CH04,3,127.08,15,324.05,bank_transfer,returned,3.99,2025,4,True
T0000126,2024-08-27 17:58:00,C00802,P00048,CH03,2,417.64,20,668.22,bank_transfer,completed,3.99,2024,8,False
T0000127,2025-02-07 18:41:00,C01928,P00049,CH02,3,417.03,20,1000.87,paypal,completed,6.99,2025,2,False
T0000128,2024-07-07 18:26:00,C00090,P00112,CH02,2,103.03,5,195.76,credit_card,completed,3.99,2024,7,False
T0000129,2025-05-28 06:52:00,C00103,P00126,CH01,2,179.46,5,340.97,credit_card,completed,6.99,2025,5,False
T0000130,2024-10-25 21:28:00,C01589,P00144,CH04,3,316.75,0,950.25,klarna,completed,6.99,2024,10,False
T0000131,2025-06-17 07:11:00,C00667,P00091,CH01,2,97.87,10,176.17,credit_card,completed,6.99,2025,6,False
T0000132,2025-06-16 17:47:00,C00881,P00053,CH03,1,129.31,0,129.31,klarna,completed,4.99,2025,6,False
T0000134,2025-03-10 13:30:00,C01365,P00020,CH02,1,322.16,15,273.84,apple_pay,completed,0.0,2025,3,False
T0000135,2024-07-07 09:38:00,C01039,P00133,CH05,1,303.67,10,273.3,credit_card,cancelled,6.99,2024,7,False
T0000136,2024-07-06 12:49:00,C01180,P00030,CH03,3,236.95,0,710.85,credit_card,completed,4.99,2024,7,False
T0000137,2025-06-11 08:39:00,C01386,P00121,CH04,1,269.36,20,215.49,paypal,cancelled,4.99,2025,6,False
T0000138,2024-07-01 20:25:00,C01771,P00018,CH01,1,161.76,0,161.76,credit_card,returned,3.99,2024,7,True
T0000139,2025-04-20 13:17:00,C01004,P00016,CH02,2,362.34,10,652.21,credit_card,completed,6.99,2025,4,False
T0000140,2025-06-16 16:21:00,C01921,P00114,CH05,1,65.45,15,55.63,credit_card,completed,4.99,2025,6,False
T0000141,2024-07-12 08:29:00,C01314,P00096,CH03,1,108.12,20,86.5,paypal,completed,3.99,2024,7,False
T0000142,2024-08-12 09:16:00,C00373,P00003,CH01,1,464.99,0,464.99,bank_transfer,completed,3.99,2024,8,False
T0000144,2025-04-08 11:21:00,C00419,P00026,CH02,3,393.21,10,1061.67,bank_transfer,returned,3.99,2025,4,True
T0000146,2025-06-03 18:21:00,C01251,P00115,CH05,1,33.73,0,33.73,bank_transfer,completed,6.99,2025,6,False
T0000147,2025-05-25 18:39:00,C01406,P00135,CH01,1,90.61,20,72.49,credit_card,completed,4.99,2025,5,False
T0000149,2025-05-03 15:54:00,C01939,P00035,CH01,1,133.75,10,120.38,credit_card,returned,3.99,2025,5,True
T0000150,2025-02-08 06:13:00,C00591,P00136,CH04,1,478.0,0,478.0,klarna,completed,0.0,2025,2,False
T0000151,2025-04-24 06:31:00,C01950,P00054,CH04,2,108.51,20,173.62,apple_pay,completed,6.99,2025,4,False
T0000152,2024-09-10 15:13:00,C00886,P00046,CH01,1,57.89,5,55.0,klarna,completed,4.99,2024,9,False
T0000153,2025-06-09 08:51:00,C01107,P00062,CH03,1,392.06,10,352.85,paypal,completed,6.99,2025,6,False
T0000154,2025-01-01 15:01:00,C01062,P00008,CH01,1,83.27,0,83.27,klarna,completed,0.0,2025,1,False
T0000155,2024-09-05 14:04:00,C01618,P00106,CH03,1,143.79,5,136.6,credit_card,completed,0.0,2024,9,False
T0000156,2025-03-07 22:07:00,C01649,P00017,CH02,1,183.79,15,156.22,apple_pay,completed,3.99,2025,3,False
T0000157,2025-04-09 13:08:00,C01071,P00028,CH02,1,127.42,20,101.94,credit_card,completed,0.0,2025,4,False
T0000159,2025-01-24 10:51:00,C00038,P00038,CH01,3,258.62,0,775.86,credit_card,completed,0.0,2025,1,False
T0000160,2024-08-28 18:43:00,C01412,P00127,CH04,1,400.71,20,320.57,paypal,completed,0.0,2024,8,False
T0000161,2024-08-18 08:18:00,C01569,P00129,CH04,2,400.17,20,640.27,credit_card,returned,0.0,2024,8,True
T0000163,2024-12-12 10:44:00,C01692,P00136,CH05,1,478.0,10,430.2,klarna,completed,0.0,2024,12,False
T0000164,2024-09-01 22:30:00,C00515,P00007,CH02,3,182.22,0,546.66,klarna,completed,3.99,2024,9,False
T0000165,2024-08-19 20:25:00,C01062,P00001,CH01,3,375.19,0,1125.57,credit_card,completed,3.99,2024,8,False
T0000166,2024-12-31 08:16:00,C01369,P00127,CH01,2,400.71,0,801.42,bank_transfer,cancelled,6.99,2024,12,False
T0000167,2025-06-10 16:59:00,C00294,P00068,CH02,3,150.18,15,382.96,klarna,completed,4.99,2025,6,False
T0000168,2024-07-16 19:15:00,C00925,P00025,CH01,1,46.62,5,44.29,credit_card,completed,0.0,2024,7,False
T0000169,2025-02-17 08:00:00,C01694,P00065,CH03,2,397.46,10,715.43,paypal,completed,3.99,2025,2,False
T0000170,2024-07-04 17:24:00,C01487,P00140,CH03,1,343.34,10,309.01,credit_card,completed,6.99,2024,7,False
T0000171,2024-09-03 06:09:00,C01480,P00146,CH02,1,202.84,0,202.84,credit_card,completed,4.99,2024,9,False
T0000172,2025-03-01 16:05:00,C00664,P00014,CH03,1,77.57,20,62.06,apple_pay,completed,3.99,2025,3,False
T0000173,2024-11-20 08:35:00,C01216,P00118,CH03,2,336.16,20,537.86,credit_card,completed,4.99,2024,11,False
T0000174,2025-02-26 16:09:00,C01120,P00122,CH02,2,311.1,10,559.98,credit_card,returned,0.0,2025,2,True
T0000175,2025-02-04 17:23:00,C00431,P00091,CH03,3,97.87,20,234.89,apple_pay,completed,6.99,2025,2,False
T0000176,2025-01-08 14:31:00,C01402,P00068,CH03,2,150.18,10,270.32,bank_transfer,completed,3.99,2025,1,False
T0000178,2024-09-12 10:22:00,C01429,P00082,CH01,1,19.83,20,15.86,paypal,completed,6.99,2024,9,False
T0000179,2025-05-16 06:51:00,C01377,P00082,CH01,3,19.83,5,56.52,credit_card,completed,4.99,2025,5,False
T0000180,2025-02-11 12:18:00,C00024,P00031,CH01,2,277.94,0,555.88,credit_card,completed,4.99,2025,2,False
T0000181,2024-10-22 06:31:00,C00969,P00101,CH04,1,210.82,5,200.28,apple_pay,completed,0.0,2024,10,False
T0000182,2024-08-11 07:06:00,C01958,P00031,CH03,2,277.94,0,555.88,credit_card,completed,3.99,2024,8,False
T0000183,2025-05-27 14:19:00,C01039,P00148,CH01,1,248.55,5,236.12,klarna,completed,4.99,2025,5,False
T0000184,2025-02-04 10:34:00,C00944,P00085,CH04,2,45.13,0,90.26,klarna,completed,4.99,2025,2,False
T0000185,2025-01-14 06:20:00,C00121,P00080,CH02,1,238.96,0,238.96,paypal,completed,0.0,2025,1,False
T0000186,2024-09-30 06:00:00,C00432,P00028,CH01,2,127.42,5,242.1,bank_transfer,returned,0.0,2024,9,True
T0000187,2024-09-12 17:40:00,C00383,P00012,CH01,1,355.85,10,320.27,paypal,completed,4.99,2024,9,False
T0000188,2024-09-03 09:14:00,C01605,P00147,CH03,1,412.33,0,412.33,credit_card,completed,4.99,2024,9,False
T0000189,2025-01-20 09:11:00,C01323,P00082,CH04,1,19.83,0,19.83,bank_transfer,completed,0.0,2025,1,False
T0000190,2024-08-26 18:04:00,C00294,P00024,CH04,2,238.26,0,476.52,paypal,completed,3.99,2024,8,False
T0000192,2025-03-23 20:35:00,C00702,P00143,CH01,2,110.2,0,220.4,klarna,completed,4.99,2025,3,False
T0000193,2025-03-26 22:30:00,C01244,P00016,CH02,1,362.34,0,362.34,apple_pay,completed,3.99,2025,3,False
T0000194,2024-07-20 07:35:00,C01644,P00079,CH04,3,40.26,15,102.66,credit_card,completed,3.99,2024,7,False
T0000195,2024-10-05 20:49:00,C01627,P00131,CH03,2,179.38,20,287.01,apple_pay,completed,3.99,2024,10,False
T0000196,2025-01-14 06:18:00,C01236,P00007,CH02,2,182.22,5,346.22,credit_card,completed,4.99,2025,1,False
T0000197,2025-03-31 14:18:00,C01147,P00132,CH02,1,184.12,0,184.12,credit_card,completed,3.99,2025,3,False
T0000198,2025-02-16 21:01:00,C01400,P00036,CH02,2,481.56,0,963.12,paypal,completed,0.0,2025,2,False
T0000199,2025-01-13 07:50:00,C00802,P00056,CH01,2,111.87,15,190.18,bank_transfer,returned,0.0,2025,1,True
T0000200,2025-06-05 19:59:00,C01003,P00111,CH01,2,48.83,0,97.66,credit_card,completed,3.99,2025,6,False
T0000201,2024-07-16 20:42:00,C01450,P00045,CH01,3,55.74,0,167.22,apple_pay,completed,0.0,2024,7,False
T0000202,2025-01-07 12:10:00,C00085,P00078,CH02,2,23.15,0,46.3,bank_transfer,completed,4.99,2025,1,False
T0000203,2025-05-30 10:35:00,C00119,P00146,CH01,2,202.84,20,324.54,bank_transfer,completed,6.99,2025,5,False
T0000204,2024-08-10 18:09:00,C00685,P00077,CH03,2,194.61,10,350.3,bank_transfer,completed,6.99,2024,8,False
T0000206,2025-03-26 10:24:00,C01864,P00141,CH02,2,65.67,20,105.07,paypal,completed,6.99,2025,3,False
T0000207,2024-07-26 15:10:00,C00862,P00125,CH03,1,285.52,0,285.52,paypal,completed,0.0,2024,7,False
T0000208,2024-12-03 19:51:00,C00655,P00030,CH01,1,236.95,15,201.41,bank_transfer,completed,6.99,2024,12,False
T0000209,2024-09-10 14:10:00,C00504,P00045,CH02,2,55.74,0,111.48,credit_card,completed,0.0,2024,9,False
T0000210,2025-03-12 08:50:00,C00632,P00096,CH02,2,108.12,15,183.8,bank_transfer,completed,4.99,2025,3,False
T0000211,2024-12-17 12:47:00,C01920,P00048,CH02,2,417.64,0,835.28,paypal,completed,0.0,2024,12,False
T0000212,2025-05-03 22:16:00,C00790,P00097,CH04,2,414.51,15,704.67,credit_card,completed,6.99,2025,5,False
T0000213,2024-09-24 15:48:00,C01014,P00021,CH04,1,60.71,5,57.67,apple_pay,completed,3.99,2024,9,False
T0000214,2024-08-05 14:21:00,C00805,P00001,CH03,2,375.19,0,750.38,paypal,completed,0.0,2024,8,False
T0000215,2024-09-22 09:42:00,C00223,P00037,CH04,3,488.35,0,1465.05,credit_card,completed,0.0,2024,9,False
T0000216,2024-08-11 07:03:00,C00625,P00136,CH01,2,478.0,15,812.6,bank_transfer,completed,0.0,2024,8,False
T0000217,2025-05-16 13:25:00,C00308,P00057,CH01,2,155.69,0,311.38,credit_card,completed,0.0,2025,5,False
T0000218,2025-02-08 15:46:00,C00451,P00052,CH03,1,150.44,0,150.44,bank_transfer,completed,0.0,2025,2,False
T0000219,2024-11-27 11:42:00,C01698,P00029,CH01,1,204.96,0,204.96,paypal,completed,3.99,2024,11,False
T0000220,2024-11-07 17:34:00,C01853,P00110,CH01,2,442.79,10,797.02,paypal,returned,3.99,2024,11,True
T0000221,2025-02-24 22:03:00,C01691,P00022,CH03,1,20.11,15,17.09,paypal,completed,6.99,2025,2,False
T0000222,2025-02-15 14:33:00,C00724,P00073,CH02,3,340.12,10,918.32,credit_card,completed,6.99,2025,2,False
T0000223,2024-09-13 15:07:00,C01955,P00074,CH04,3,182.05,0,546.15,credit_card,completed,4.99,2024,9,False
T0000224,2025-04-10 19:05:00,C00202,P00047,CH02,3,392.86,20,942.86,credit_card,returned,4.99,2025,4,True
T0000225,2024-08-20 22:43:00,C01049,P00143,CH03,1,110.2,5,104.69,credit_card,completed,0.0,2024,8,False
T0000226,2024-07-31 08:52:00,C01980,P00090,CH01,1,175.36,0,175.36,credit_card,completed,4.99,2024,7,False
T0000227,2024-10-13 07:59:00,C00504,P00115,CH05,1,33.73,20,26.98,credit_card,completed,4.99,2024,10,False
T0000228,2024-07-06 19:32:00,C00878,P00058,CH01,1,136.28,0,136.28,credit_card,completed,3.99,2024,7,False
T0000229,2025-05-31 20:32:00,C01252,P00119,CH04,2,450.47,10,810.85,paypal,completed,6.99,2025,5,False
T0000230,2025-02-11 13:00:00,C00165,P00029,CH02,2,204.96,0,409.92,bank_transfer,completed,6.99,2025,2,False
T0000231,2025-06-04 17:51:00,C00738,P00129,CH04,1,400.17,20,320.14,paypal,completed,3.99,2025,6,False
T0000232,2024-12-13 16:28:00,C00376,P00069,CH03,3,290.4,20,696.96,klarna,completed,6.99,2024,12,False
T0000233,2024-07-21 06:14:00,C01294,P00017,CH02,1,183.79,20,147.03,bank_transfer,completed,0.0,2024,7,False
T0000234,2024-08-18 11:52:00,C01889,P00118,CH01,2,336.16,20,537.86,bank_transfer,completed,4.99,2024,8,False
T0000235,2025-01-15 08:57:00,C00685,P00089,CH03,1,377.97,0,377.97,klarna,completed,4.99,2025,1,False
T0000236,2025-02-01 11:58:00,C01141,P00054,CH01,1,108.51,15,92.23,paypal,completed,0.0,2025,2,False
T0000237,2025-01-05 10:02:00,C01231,P00036,CH02,2,481.56,15,818.65,credit_card,completed,6.99,2025,1,False
T0000238,2024-07-23 21:16:00,C00553,P00110,CH05,2,442.79,5,841.3,credit_card,completed,6.99,2024,7,False
T0000239,2024-09-08 09:57:00,C00877,P00109,CH02,1,277.36,15,235.76,credit_card,completed,4.99,2024,9,False
T0000240,2025-01-22 15:48:00,C00708,P00015,CH01,1,300.39,0,300.39,paypal,completed,0.0,2025,1,False
T0000241,2025-05-05 17:47:00,C01543,P00030,CH04,1,236.95,0,236.95,paypal,completed,4.99,2025,5,False
T0000242,2025-06-23 20:06:00,C01682,P00091,CH01,1,97.87,20,78.3,apple_pay,completed,4.99,2025,6,False
T0000243,2024-08-09 13:20:00,C00031,P00043,CH03,2,92.64,0,185.28,bank_transfer,returned,0.0,2024,8,True
T0000246,2024-07-28 14:01:00,C00202,P00017,CH01,1,183.79,20,147.03,klarna,completed,0.0,2024,7,False
T0000247,2024-10-15 22:09:00,C00624,P00055,CH02,2,357.21,15,607.26,credit_card,completed,6.99,2024,10,False
T0000248,2024-07-03 20:51:00,C01551,P00138,CH01,2,260.75,10,469.35,credit_card,completed,6.99,2024,7,False
T0000249,2025-04-21 10:24:00,C00602,P00056,CH03,1,111.87,0,111.87,klarna,completed,6.99,2025,4,False
T0000250,2024-11-14 15:47:00,C01243,P00010,CH02,1,453.33,15,385.33,bank_transfer,completed,4.99,2024,11,False
T0000251,2025-02-06 20:44:00,C00450,P00133,CH01,3,303.67,10,819.91,bank_transfer,completed,6.99,2025,2,False
T0000252,2025-06-05 20:26:00,C01198,P00052,CH04,1,150.44,0,150.44,paypal,completed,6.99,2025,6,False
