product_id,product_name,category,brand,price_eur,cost_eur,weight_kg,is_available,created_date,margin_eur,margin_pct
P00040,HomePlus Staubsauger,Haushalt,HomePlus,108.96,52.14,7.74,True,2023-10-10,56.82,52.1
P00041,SportMax Mixer,Haushalt,SportMax,402.8,231.28,11.62,True,2023-03-06,171.52,42.6
P00042,EcoHome Staubsauger,Haushalt,EcoHome,279.86,129.91,7.19,True,2023-09-19,149.95,53.6
P00043,DeskMaster Staubsauger,Haushalt,DeskMaster,92.64,58.93,14.76,False,2024-05-12,33.71,36.4
P00044,TechPro Wasserkocher,Haushalt,TechPro,464.18,296.1,13.84,True,2023-09-04,168.08,36.2
P00045,EcoHome Mixer,Haushalt,EcoHome,55.74,33.69,10.23,True,2023-11-17,22.05,39.6
P00046,SmartGear Mixer,Haushalt,SmartGear,57.89,39.73,13.83,True,2024-01-31,18.16,31.4
P00047,UrbanWear Toaster,Haushalt,UrbanWear,392.86,241.89,7.5,False,2024-04-19,150.97,38.4
P00048,TechPro Toaster,Haushalt,TechPro,417.64,212.22,6.51,True,2023-12-01,205.42,49.2
P00049,UrbanWear Staubsauger,Haushalt,UrbanWear,417.03,180.45,1.71,True,2023-01-23,236.58,56.7
P00050,SmartGear Toaster,Haushalt,SmartGear,43.78,26.15,13.26,True,2024-03-25,17.63,40.3
P00051,SportMax Wasserkocher,Haushalt,SportMax,394.52,222.21,2.4,True,2023-09-28,172.31,43.7
P00052,FitLife Mixer,Haushalt,FitLife,150.44,76.79,1.26,True,2023-10-24,73.65,49.0
P00053,SportMax Kaffeemaschine,Haushalt,SportMax,129.31,86.96,4.71,True,2023-01-09,42.35,32.8
P00054,StyleWorks Staubsauger,Haushalt,StyleWorks,108.51,56.08,14.11,True,2024-03-31,52.43,48.3
P00055,StyleWorks Toaster,Haushalt,StyleWorks,357.21,163.33,8.34,True,2023-03-19,193.88,54.3
P00056,SmartGear Staubsauger,Haushalt,SmartGear,111.87,52.88,6.27,True,2024-04-07,58.99,52.7
P00057,StyleWorks Toaster,Haushalt,StyleWorks,155.69,90.93,5.37,True,2023-12-05,64.76,41.6
P00058,DeskMaster Toaster,Haushalt,DeskMaster,136.28,71.56,5.32,True,2024-02-26,64.72,47.5
P00059,DeskMaster Kaffeemaschine,Haushalt,DeskMaster,83.9,51.3,13.59,True,2023-12-10,32.6,38.9
P00060,FitLife Kaffeemaschine,Haushalt,FitLife,267.68,146.23,8.72,True,2024-01-14,121.45,45.4
P00061,DeskMaster Laufschuhe,Sport,DeskMaster,50.09,31.85,5.72,True,2024-03-27,18.24,36.4
P00062,EcoHome Yogamatte,Sport,EcoHome,392.06,201.88,5.02,True,2023-01-28,190.18,48.5
P00063,SmartGear Hanteln,Sport,SmartGear,406.92,177.97,14.56,True,2024-01-18,228.95,56.3
P00064,SportMax Hanteln,Sport,SportMax,301.88,178.08,0.89,True,2023-04-25,123.8,41.0
P00065,HomePlus Hanteln,Sport,HomePlus,397.46,243.41,3.89,True,2023-01-21,154.05,38.8
P00066,StyleWorks Yogamatte,Sport,StyleWorks,488.17,322.43,13.41,True,2023-07-20,165.74,34.0
P00067,HomePlus Fitnesstracker,Sport,HomePlus,243.21,166.52,12.73,True,2023-09-06,76.69,31.5
P00068,SmartGear Laufschuhe,Sport,SmartGear,150.18,67.23,3.02,True,2023-12-17,82.95,55.2
P00069,EcoHome Fahrrad,Sport,EcoHome,290.4,119.82,2.73,True,2024-05-01,170.58,58.7
P00070,TechPro Hanteln,Sport,TechPro,155.0,105.62,12.4,True,2023-06-03,49.38,31.9
P00071,SmartGear Hanteln,Sport,SmartGear,105.89,56.6,9.06,True,2024-05-03,49.29,46.5
P00072,OfficeLine Fitnesstracker,Sport,OfficeLine,377.16,246.69,5.71,True,2023-05-03,130.47,34.6
P00073,DeskMaster Fitnesstracker,Sport,DeskMaster,340.12,237.06,9.93,True,2024-03-18,103.06,30.3
P00074,OfficeLine Fahrrad,Sport,OfficeLine,182.05,110.71,11.42,True,2023-12-20,71.34,39.2
P00075,EcoHome Yogamatte,Sport,EcoHome,206.22,124.37,7.19,True,2023-05-26,81.85,39.7
P00076,EcoHome Hanteln,Sport,EcoHome,152.77,101.46,4.98,True,2024-05-08,51.31,33.6
P00077,SmartGear Fitnesstracker,Sport,SmartGear,194.61,79.02,7.91,True,2023-05-22,115.59,59.4
P00078,DeskMaster Fitnesstracker,Sport,DeskMaster,23.15,12.87,10.47,True,2023-08-20,10.28,44.4
P00079,EcoHome Laufschuhe,Sport,EcoHome,40.26,21.37,9.38,True,2023-07-04,18.89,46.9
P00080,SportMax Yogamatte,Sport,SportMax,238.96,160.84,4.97,True,2024-03-07,78.12,32.7
P00081,DeskMaster Hanteln,Sport,DeskMaster,136.98,83.34,11.57,True,2023-04-04,53.64,39.2
P00082,FitLife Laufschuhe,Sport,FitLife,19.83,13.51,9.45,True,2023-10-25,6.32,31.9
P00083,OfficeLine Yogamatte,Sport,OfficeLine,401.4,232.83,10.69,True,2023-09-13,168.57,42.0
P00084,SmartGear Fahrrad,Sport,SmartGear,159.55,65.5,0.66,False,2023-02-26,94.05,58.9
P00085,EcoHome Laufschuhe,Sport,EcoHome,45.13,28.43,10.82,True,2024-01-08,16.7,37.0
P00086,UrbanWear Laufschuhe,Sport,UrbanWear,96.06,58.55,11.73,True,2023-03-10,37.51,39.0
P00087,SmartGear Laufschuhe,Sport,SmartGear,373.8,228.68,8.06,True,2023-02-07,145.12,38.8
P00088,StyleWorks Hanteln,Sport,StyleWorks,215.19,135.41,8.78,True,2023-01-30,79.78,37.1
P00089,SmartGear Fitnesstracker,Sport,SmartGear,377.97,237.23,14.3,True,2023-04-22,140.74,37.2
P00090,StyleWorks Hanteln,Sport,StyleWorks,175.36,74.89,8.48,True,2023-06-15,100.47,57.3
P00091,OfficeLine Aktenvernichter,Büro,OfficeLine,97.87,48.28,4.88,True,2024-02-09,49.59,50.7
P00092,SmartGear Schreibtisch,Büro,SmartGear,117.46,60.45,8.2,True,2023-03-28,57.01,48.5
P00093,EcoHome Drucker,Büro,EcoHome,50.43,25.89,10.68,False,2023-08-11,24.54,48.7
P00094,OfficeLine Bürostuhl,Büro,OfficeLine,19.28,8.81,14.12,True,2023-02-10,10.47,54.3
P00095,OfficeLine Schreibtisch,Büro,OfficeLine,427.39,226.61,13.93,True,2024-03-25,200.78,47.0
P00096,SmartGear Bürostuhl,Büro,SmartGear,108.12,50.54,4.15,True,2023-08-08,57.58,53.3
P00097,SmartGear Aktenvernichter,Büro,SmartGear,414.51,216.77,14.86,True,2024-02-05,197.74,47.7
P00098,StyleWorks Aktenvernichter,Büro,StyleWorks,171.04,72.27,13.45,True,2023-08-19,98.77,57.7
P00099,SportMax Aktenvernichter,Büro,SportMax,302.94,179.3,7.48,False,2023-08-02,123.64,40.8
P00100,OfficeLine Aktenvernichter,Büro,OfficeLine,344.87,143.81,8.5,True,2024-01-28,201.06,58.3
P00101,HomePlus Schreibtisch,Büro,HomePlus,210.82,97.47,9.77,True,2023-02-16,113.35,53.8
P00102,SportMax Whiteboard,Büro,SportMax,82.93,41.84,5.9,True,2023-08-04,41.09,49.5
P00103,OfficeLine Aktenvernichter,Büro,OfficeLine,456.95,310.7,7.51,False,2023-03-31,146.25,32.0
P00104,EcoHome Aktenvernichter,Büro,EcoHome,332.0,216.28,7.93,True,2023-07-29,115.72,34.9
P00105,StyleWorks Whiteboard,Büro,StyleWorks,346.01,226.38,10.43,True,2023-10-14,119.63,34.6
P00106,OfficeLine Schreibtisch,Büro,OfficeLine,143.79,82.18,13.43,True,2023-05-24,61.61,42.8
P00107,SmartGear Bürostuhl,Büro,SmartGear,50.97,34.02,12.73,True,2023-11-21,16.95,33.3
P00108,HomePlus Drucker,Büro,HomePlus,190.71,94.51,13.43,True,2023-04-21,96.2,50.4
P00109,OfficeLine Aktenvernichter,Büro,OfficeLine,277.36,133.8,10.99,True,2024-01-13,143.56,51.8
P00110,TechPro Bürostuhl,Büro,TechPro,442.79,236.15,8.88,True,2023-06-25,206.64,46.7
P00111,FitLife Bürostuhl,Büro,FitLife,48.83,25.59,6.98,True,2024-04-16,23.24,47.6
P00112,TechPro Whiteboard,Büro,TechPro,103.03,41.64,11.6,True,2023-03-25,61.39,59.6
P00113,EcoHome Aktenvernichter,Büro,EcoHome,476.1,275.82,0.32,True,2024-05-02,200.28,42.1
P00114,TechPro Schreibtisch,Büro,TechPro,65.45,33.79,3.47,True,2023-08-04,31.66,48.4
P00115,SmartGear Aktenvernichter,Büro,SmartGear,33.73,14.79,3.45,True,2023-09-02,18.94,56.2
P00116,FitLife Whiteboard,Büro,FitLife,484.41,263.21,10.94,True,2024-04-18,221.2,45.7
P00117,HomePlus Aktenvernichter,Büro,HomePlus,39.16,18.76,1.07,True,2023-05-27,20.4,52.1
P00118,SportMax Bürostuhl,Büro,SportMax,336.16,146.18,8.37,True,2023-08-18,189.98,56.5
P00119,HomePlus Bürostuhl,Büro,HomePlus,450.47,212.97,5.36,True,2024-01-23,237.5,52.7
P00120,UrbanWear Bürostuhl,Büro,UrbanWear,127.08,70.24,13.33,True,2023-10-17,56.84,44.7
P00121,FitLife Uhr,Mode,FitLife,269.36,187.01,8.34,False,2023-12-20,82.35,30.6
P00122,EcoHome Tasche,Mode,EcoHome,311.1,158.43,3.23,True,2023-05-19,152.67,49.1
P00123,SportMax Tasche,Mode,SportMax,253.66,131.44,9.21,False,2023-12-18,122.22,48.2
P00124,FitLife Uhr,Mode,FitLife,296.11,196.37,13.03,True,2023-09-06,99.74,33.7
P00125,UrbanWear Hemd,Mode,UrbanWear,285.52,170.0,2.4,True,2024-03-12,115.52,40.5
P00126,SportMax Uhr,Mode,SportMax,179.46,110.0,0.81,True,2023-04-14,69.46,38.7
P00127,TechPro Uhr,Mode,TechPro,400.71,236.11,8.85,True,2023-06-03,164.6,41.1
P00128,DeskMaster Hemd,Mode,DeskMaster,255.43,161.29,0.13,True,2023-06-25,94.14,36.9
P00129,OfficeLine Uhr,Mode,OfficeLine,400.17,184.37,14.39,True,2023-05-11,215.8,53.9
P00130,DeskMaster Jacke,Mode,DeskMaster,339.63,200.3,3.56,True,2024-04-02,139.33,41.0
P00131,DeskMaster Uhr,Mode,DeskMaster,179.38,115.85,2.05,True,2023-11-17,63.53,35.4
P00132,SmartGear Hemd,Mode,SmartGear,184.12,115.83,1.54,True,2023-03-11,68.29,37.1
P00133,UrbanWear Schuhe,Mode,UrbanWear,303.67,181.4,1.05,True,2023-12-02,122.27,40.3
P00134,HomePlus Schuhe,Mode,HomePlus,391.65,194.4,5.41,True,2024-02-25,197.25,50.4
P00135,SportMax Schuhe,Mode,SportMax,90.61,55.88,10.86,True,2023-01-04,34.73,38.3
P00136,SportMax Hemd,Mode,SportMax,478.0,209.64,10.49,True,2024-03-27,268.36,56.1
P00137,DeskMaster Jacke,Mode,DeskMaster,66.63,46.02,3.07,True,2023-10-20,20.61,30.9
P00138,HomePlus Uhr,Mode,HomePlus,260.75,179.89,8.67,True,2023-08-01,80.86,31.0
P00139,FitLife Tasche,Mode,FitLife,429.48,232.53,13.04,True,2023-08-10,196.95,45.9
P00140,EcoHome Tasche,Mode,EcoHome,343.34,206.87,14.69,True,2023-07-08,136.47,39.7
P00141,StyleWorks Jacke,Mode,StyleWorks,65.67,35.12,4.38,True,2024-01-09,30.55,46.5
P00142,SportMax Tasche,Mode,SportMax,308.96,211.6,5.16,True,2023-01-17,97.36,31.5
P00143,DeskMaster Hemd,Mode,DeskMaster,110.2,50.86,9.72,True,2023-11-02,59.34,53.8
P00144,HomePlus Hemd,Mode,HomePlus,316.75,182.31,4.29,True,2023-12-07,134.44,42.4
P00145,SportMax Schuhe,Mode,SportMax,419.27,218.66,14.43,True,2023-01-18,200.61,47.8
P00146,SportMax Uhr,Mode,SportMax,202.84,117.66,7.75,True,2023-01-19,85.18,42.0
P00147,TechPro Tasche,Mode,TechPro,412.33,174.81,12.85,True,2023-06-07,237.52,57.6
P00148,SmartGear Schuhe,Mode,SmartGear,248.55,139.04,4.61,True,2023-12-04,109.51,44.1
P00149,EcoHome Schuhe,Mode,EcoHome,166.52,92.3,8.87,True,2023-04-26,74.22,44.6
P00150,SmartGear Tasche,Mode,SmartGear,160.49,71.92,9.75,True,2024-03-20,88.57,55.2
