transaction_id,date_key,customer_key,product_key,channel_key,quantity,unit_price_eur,discount_pct,total_amount_eur,net_amount_eur,shipping_cost_eur,payment_method,status,is_return
T0000034,20250602,503,15,1,1,300.39,20,240.31,240.31,0.0,paypal,completed,False
T0000035,20250616,239,144,1,2,316.75,0,633.5,633.5,4.99,credit_card,completed,False
T0000036,20250303,944,136,3,1,478.0,20,382.4,382.4,3.99,credit_card,completed,False
T0000037,20241016,1222,136,2,1,478.0,5,454.1,454.1,6.99,bank_transfer,completed,False
T0000039,20240907,949,93,1,2,50.43,15,85.73,85.73,6.99,credit_card,completed,False
T0000041,20250208,343,50,4,1,43.78,0,43.78,43.78,0.0,paypal,completed,False
T0000042,20250116,177,111,3,1,48.83,0,48.83,48.83,4.99,klarna,completed,False
T0000043,20250224,1618,128,3,1,255.43,15,217.12,217.12,0.0,credit_card,completed,False
T0000044,20240728,987,43,2,2,92.64,10,166.75,166.75,4.99,klarna,completed,False
T0000045,20250218,1025,39,2,3,483.04,10,1304.21,1304.21,3.99,klarna,completed,False
T0000046,20241023,951,19,1,2,178.81,0,357.62,357.62,0.0,paypal,completed,False
T0000047,20240916,144,30,2,2,236.95,0,473.9,473.9,0.0,credit_card,completed,False
T0000048,20250310,1646,7,1,3,182.22,0,546.66,-546.66,0.0,bank_transfer,returned,True
T0000049,20250625,564,82,3,1,19.83,20,15.86,15.86,6.99,paypal,completed,False
T0000050,20250425,1961,137,2,1,66.63,20,53.3,53.3,6.99,credit_card,completed,False
T0000051,20250625,1672,89,5,1,377.97,0,377.97,377.97,6.99,paypal,completed,False
T0000052,20250208,1128,40,4,1,108.96,0,108.96,108.96,4.99,bank_transfer,completed,False
T0000053,20240822,31,66,1,1,488.17,0,488.17,-488.17,3.99,credit_card,returned,True
T0000054,20250228,1702,78,4,3,23.15,15,59.03,-59.03,0.0,credit_card,returned,True
T0000055,20250618,18,90,4,1,175.36,0,175.36,175.36,6.99,paypal,completed,False
T0000056,20250528,641,75,1,2,206.22,0,412.44,412.44,0.0,paypal,completed,False
T0000057,20250506,1715,49,3,2,417.03,20,667.25,667.25,4.99,credit_card,completed,False
T0000058,20241011,644,58,3,1,136.28,0,136.28,136.28,4.99,paypal,completed,False
T0000059,20240807,1672,117,5,1,39.16,0,39.16,39.16,3.99,credit_card,completed,False
T0000060,20250205,1699,49,2,3,417.03,15,1063.43,1063.43,3.99,credit_card,completed,False
T0000061,20250330,565,22,1,1,20.11,0,20.11,20.11,3.99,credit_card,completed,False
T0000063,20250310,1133,131,4,2,179.38,10,322.88,322.88,0.0,apple_pay,completed,False
T0000064,20250114,231,37,2,1,488.35,10,439.52,439.52,3.99,paypal,completed,False
T0000065,20250520,401,78,1,1,23.15,0,23.15,23.15,4.99,bank_transfer,completed,False
T0000066,20250325,1838,85,2,1,45.13,0,45.13,45.13,6.99,bank_transfer,completed,False
T0000067,20250618,1726,68,1,2,150.18,10,270.32,270.32,3.99,bank_transfer,cancelled,False
T0000068,20241021,1910,79,3,1,40.26,5,38.25,38.25,3.99,credit_card,completed,False
T0000069,20240808,1223,62,2,1,392.06,10,352.85,352.85,0.0,credit_card,completed,False
T0000070,20250526,1604,101,2,2,210.82,15,358.39,358.39,0.0,credit_card,completed,False
T0000071,20250208,1180,28,3,1,127.42,0,127.42,127.42,4.99,credit_card,completed,False
T0000072,20240710,1277,116,4,1,484.41,5,460.19,460.19,6.99,paypal,completed,False
T0000073,20250630,465,102,3,2,82.93,5,157.57,157.57,4.99,paypal,completed,False
T0000074,20240825,222,52,3,1,150.44,0,150.44,-150.44,4.99,paypal,returned,True
T0000075,20250101,1566,138,1,1,260.75,5,247.71,247.71,6.99,paypal,completed,False
T0000076,20240721,655,107,1,2,50.97,5,96.84,96.84,3.99,paypal,completed,False
T0000077,20240823,1026,23,5,1,421.11,20,336.89,336.89,3.99,paypal,completed,False
T0000078,20250519,1018,29,3,2,204.96,0,409.92,409.92,3.99,credit_card,completed,False
T0000079,20250502,1720,122,2,3,311.1,0,933.3,933.3,3.99,apple_pay,completed,False
T0000080,20240720,758,34,2,2,445.99,0,891.98,891.98,6.99,bank_transfer,completed,False
T0000081,20250201,434,12,3,1,355.85,5,338.06,338.06,3.99,credit_card,completed,False
T0000082,20241011,624,45,3,2,55.74,15,94.76,94.76,0.0,paypal,completed,False
T0000083,20250605,105,111,1,2,48.83,0,97.66,97.66,6.99,klarna,completed,False
T0000084,20250425,1807,129,4,2,400.17,20,640.27,640.27,0.0,klarna,completed,False
T0000085,20250305,762,131,3,3,179.38,0,538.14,538.14,3.99,apple_pay,completed,False
T0000087,20240821,1389,91,1,2,97.87,10,176.17,176.17,6.99,paypal,completed,False
T0000088,20240704,1167,42,1,1,279.86,15,237.88,237.88,0.0,apple_pay,completed,False
T0000089,20241015,1097,13,2,2,448.62,0,897.24,897.24,0.0,credit_card,completed,False
T0000090,20250620,1344,99,1,3,302.94,20,727.06,727.06,4.99,paypal,completed,False
T0000091,20240809,1582,95,1,1,427.39,20,341.91,341.91,6.99,klarna,completed,False
T0000092,20240716,1726,75,2,3,206.22,0,618.66,618.66,0.0,bank_transfer,completed,False
T0000093,20250602,1771,136,4,3,478.0,20,1147.2,1147.2,3.99,credit_card,completed,False
T0000094,20250309,1988,79,2,1,40.26,10,36.23,36.23,4.99,credit_card,completed,False
T0000095,20250218,1338,149,3,2,166.52,0,333.04,333.04,4.99,klarna,completed,False
T0000096,20240821,1969,131,4,2,179.38,15,304.95,304.95,6.99,bank_transfer,cancelled,False
T0000098,20241102,989,95,4,1,427.39,15,363.28,363.28,0.0,credit_card,completed,False
T0000099,20241011,332,57,4,2,155.69,10,280.24,280.24,0.0,klarna,completed,False
T0000100,20240731,1699,94,2,2,19.28,5,36.63,36.63,4.99,credit_card,completed,False
T0000101,20250615,609,132,2,1,184.12,20,147.3,147.3,3.99,klarna,completed,False
T0000102,20241209,1141,97,1,1,414.51,20,331.61,331.61,0.0,credit_card,completed,False
T0000103,20250519,1717,18,1,2,161.76,20,258.82,258.82,3.99,bank_transfer,completed,False
T0000104,20240711,260,18,1,2,161.76,0,323.52,323.52,0.0,klarna,completed,False
T0000105,20250311,1192,83,1,2,401.4,0,802.8,802.8,6.99,credit_card,completed,False
T0000106,20250501,1985,45,2,2,55.74,10,100.33,100.33,3.99,apple_pay,completed,False
T0000108,20250303,1169,51,3,1,394.52,0,394.52,394.52,4.99,klarna,cancelled,False
T0000109,20250521,304,42,1,3,279.86,0,839.58,839.58,6.99,klarna,completed,False
T0000111,20240930,1980,108,3,1,190.71,5,181.17,181.17,0.0,credit_card,completed,False
T0000113,20240711,1756,125,2,2,285.52,0,571.04,571.04,6.99,paypal,cancelled,False
T0000114,20240901,1303,116,5,3,484.41,0,1453.23,1453.23,6.99,credit_card,completed,False
T0000116,20240805,815,85,1,2,45.13,10,81.23,81.23,4.99,apple_pay,completed,False
T0000117,20250131,839,74,2,3,182.05,0,546.15,546.15,0.0,klarna,completed,False
T0000118,20250321,1871,145,2,3,419.27,20,1006.25,1006.25,4.99,paypal,completed,False
T0000119,20250620,1716,121,2,2,269.36,0,538.72,538.72,6.99,credit_card,completed,False
T0000120,20240908,32,126,5,2,179.46,0,358.92,358.92,0.0,bank_transfer,completed,False
T0000121,20241006,1817,101,1,1,210.82,5,200.28,-200.28,6.99,credit_card,returned,True
T0000122,20250602,1671,4,1,2,63.89,5,121.39,121.39,6.99,klarna,cancelled,False
T0000123,20250517,823,85,3,1,45.13,0,45.13,45.13,6.99,credit_card,completed,False
T0000124,20240704,536,7,3,1,182.22,0,182.22,182.22,3.99,paypal,completed,False
T0000125,20250421,204,120,4,3,127.08,15,324.05,-324.05,3.99,bank_transfer,returned,True
T0000126,20240827,802,48,3,2,417.64,20,668.22,668.22,3.99,bank_transfer,completed,False
T0000127,20250207,1928,49,2,3,417.03,20,1000.87,1000.87,6.99,paypal,completed,False
T0000128,20240707,90,112,2,2,103.03,5,195.76,195.76,3.99,credit_card,completed,False
T0000129,20250528,103,126,1,2,179.46,5,340.97,340.97,6.99,credit_card,completed,False
T0000130,20241025,1589,144,4,3,316.75,0,950.25,950.25,6.99,klarna,completed,False
T0000131,20250617,667,91,1,2,97.87,10,176.17,176.17,6.99,credit_card,completed,False
T0000132,20250616,881,53,3,1,129.31,0,129.31,129.31,4.99,klarna,completed,False
T0000134,20250310,1365,20,2,1,322.16,15,273.84,273.84,0.0,apple_pay,completed,False
T0000135,20240707,1039,133,5,1,303.67,10,273.3,273.3,6.99,credit_card,cancelled,False
T0000136,20240706,1180,30,3,3,236.95,0,710.85,710.85,4.99,credit_card,completed,False
T0000137,20250611,1386,121,4,1,269.36,20,215.49,215.49,4.99,paypal,cancelled,False
T0000138,20240701,1771,18,1,1,161.76,0,161.76,-161.76,3.99,credit_card,returned,True
T0000139,20250420,1004,16,2,2,362.34,10,652.21,652.21,6.99,credit_card,completed,False
T0000140,20250616,1921,114,5,1,65.45,15,55.63,55.63,4.99,credit_card,completed,False
T0000141,20240712,1314,96,3,1,108.12,20,86.5,86.5,3.99,paypal,completed,False
T0000142,20240812,373,3,1,1,464.99,0,464.99,464.99,3.99,bank_transfer,completed,False
T0000144,20250408,419,26,2,3,393.21,10,1061.67,-1061.67,3.99,bank_transfer,returned,True
T0000146,20250603,1251,115,5,1,33.73,0,33.73,33.73,6.99,bank_transfer,completed,False
T0000147,20250525,1406,135,1,1,90.61,20,72.49,72.49,4.99,credit_card,completed,False
T0000149,20250503,1939,35,1,1,133.75,10,120.38,-120.38,3.99,credit_card,returned,True
T0000150,20250208,591,136,4,1,478.0,0,478.0,478.0,0.0,klarna,completed,False
T0000151,20250424,1950,54,4,2,108.51,20,173.62,173.62,6.99,apple_pay,completed,False
T0000152,20240910,886,46,1,1,57.89,5,55.0,55.0,4.99,klarna,completed,False
T0000153,20250609,1107,62,3,1,392.06,10,352.85,352.85,6.99,paypal,completed,False
T0000154,20250101,1062,8,1,1,83.27,0,83.27,83.27,0.0,klarna,completed,False
T0000155,20240905,1618,106,3,1,143.79,5,136.6,136.6,0.0,credit_card,completed,False
T0000156,20250307,1649,17,2,1,183.79,15,156.22,156.22,3.99,apple_pay,completed,False
T0000157,20250409,1071,28,2,1,127.42,20,101.94,101.94,0.0,credit_card,completed,False
T0000159,20250124,38,38,1,3,258.62,0,775.86,775.86,0.0,credit_card,completed,False
T0000160,20240828,1412,127,4,1,400.71,20,320.57,320.57,0.0,paypal,completed,False
T0000161,20240818,1569,129,4,2,400.17,20,640.27,-640.27,0.0,credit_card,returned,True
T0000163,20241212,1692,136,5,1,478.0,10,430.2,430.2,0.0,klarna,completed,False
T0000164,20240901,515,7,2,3,182.22,0,546.66,546.66,3.99,klarna,completed,False
T0000165,20240819,1062,1,1,3,375.19,0,1125.57,1125.57,3.99,credit_card,completed,False
T0000166,20241231,1369,127,1,2,400.71,0,801.42,801.42,6.99,bank_transfer,cancelled,False
T0000167,20250610,294,68,2,3,150.18,15,382.96,382.96,4.99,klarna,completed,False
T0000168,20240716,925,25,1,1,46.62,5,44.29,44.29,0.0,credit_card,completed,False
T0000169,20250217,1694,65,3,2,397.46,10,715.43,715.43,3.99,paypal,completed,False
T0000170,20240704,1487,140,3,1,343.34,10,309.01,309.01,6.99,credit_card,completed,False
T0000171,20240903,1480,146,2,1,202.84,0,202.84,202.84,4.99,credit_card,completed,False
T0000172,20250301,664,14,3,1,77.57,20,62.06,62.06,3.99,apple_pay,completed,False
T0000173,20241120,1216,118,3,2,336.16,20,537.86,537.86,4.99,credit_card,completed,False
T0000174,20250226,1120,122,2,2,311.1,10,559.98,-559.98,0.0,credit_card,returned,True
T0000175,20250204,431,91,3,3,97.87,20,234.89,234.89,6.99,apple_pay,completed,False
T0000176,20250108,1402,68,3,2,150.18,10,270.32,270.32,3.99,bank_transfer,completed,False
T0000178,20240912,1429,82,1,1,19.83,20,15.86,15.86,6.99,paypal,completed,False
T0000179,20250516,1377,82,1,3,19.83,5,56.52,56.52,4.99,credit_card,completed,False
T0000180,20250211,24,31,1,2,277.94,0,555.88,555.88,4.99,credit_card,completed,False
T0000181,20241022,969,101,4,1,210.82,5,200.28,200.28,0.0,apple_pay,completed,False
T0000182,20240811,1958,31,3,2,277.94,0,555.88,555.88,3.99,credit_card,completed,False
T0000183,20250527,1039,148,1,1,248.55,5,236.12,236.12,4.99,klarna,completed,False
T0000184,20250204,944,85,4,2,45.13,0,90.26,90.26,4.99,klarna,completed,False
T0000185,20250114,121,80,2,1,238.96,0,238.96,238.96,0.0,paypal,completed,False
T0000186,20240930,432,28,1,2,127.42,5,242.1,-242.1,0.0,bank_transfer,returned,True
T0000187,20240912,383,12,1,1,355.85,10,320.27,320.27,4.99,paypal,completed,False
T0000188,20240903,1605,147,3,1,412.33,0,412.33,412.33,4.99,credit_card,completed,False
T0000189,20250120,1323,82,4,1,19.83,0,19.83,19.83,0.0,bank_transfer,completed,False
T0000190,20240826,294,24,4,2,238.26,0,476.52,476.52,3.99,paypal,completed,False
T0000192,20250323,702,143,1,2,110.2,0,220.4,220.4,4.99,klarna,completed,False
T0000193,20250326,1244,16,2,1,362.34,0,362.34,362.34,3.99,apple_pay,completed,False
T0000194,20240720,1644,79,4,3,40.26,15,102.66,102.66,3.99,credit_card,completed,False
T0000195,20241005,1627,131,3,2,179.38,20,287.01,287.01,3.99,apple_pay,completed,False
T0000196,20250114,1236,7,2,2,182.22,5,346.22,346.22,4.99,credit_card,completed,False
T0000197,20250331,1147,132,2,1,184.12,0,184.12,184.12,3.99,credit_card,completed,False
T0000198,20250216,1400,36,2,2,481.56,0,963.12,963.12,0.0,paypal,completed,False
T0000199,20250113,802,56,1,2,111.87,15,190.18,-190.18,0.0,bank_transfer,returned,True
T0000200,20250605,1003,111,1,2,48.83,0,97.66,97.66,3.99,credit_card,completed,False
T0000201,20240716,1450,45,1,3,55.74,0,167.22,167.22,0.0,apple_pay,completed,False
T0000202,20250107,85,78,2,2,23.15,0,46.3,46.3,4.99,bank_transfer,completed,False
T0000203,20250530,119,146,1,2,202.84,20,324.54,324.54,6.99,bank_transfer,completed,False
T0000204,20240810,685,77,3,2,194.61,10,350.3,350.3,6.99,bank_transfer,completed,False
T0000206,20250326,1864,141,2,2,65.67,20,105.07,105.07,6.99,paypal,completed,False
T0000207,20240726,862,125,3,1,285.52,0,285.52,285.52,0.0,paypal,completed,False
T0000208,20241203,655,30,1,1,236.95,15,201.41,201.41,6.99,bank_transfer,completed,False
T0000209,20240910,504,45,2,2,55.74,0,111.48,111.48,0.0,credit_card,completed,False
T0000210,20250312,632,96,2,2,108.12,15,183.8,183.8,4.99,bank_transfer,completed,False
T0000211,20241217,1920,48,2,2,417.64,0,835.28,835.28,0.0,paypal,completed,False
T0000212,20250503,790,97,4,2,414.51,15,704.67,704.67,6.99,credit_card,completed,False
T0000213,20240924,1014,21,4,1,60.71,5,57.67,57.67,3.99,apple_pay,completed,False
T0000214,20240805,805,1,3,2,375.19,0,750.38,750.38,0.0,paypal,completed,False
T0000215,20240922,223,37,4,3,488.35,0,1465.05,1465.05,0.0,credit_card,completed,False
T0000216,20240811,625,136,1,2,478.0,15,812.6,812.6,0.0,bank_transfer,completed,False
T0000217,20250516,308,57,1,2,155.69,0,311.38,311.38,0.0,credit_card,completed,False
T0000218,20250208,451,52,3,1,150.44,0,150.44,150.44,0.0,bank_transfer,completed,False
T0000219,20241127,1698,29,1,1,204.96,0,204.96,204.96,3.99,paypal,completed,False
T0000220,20241107,1853,110,1,2,442.79,10,797.02,-797.02,3.99,paypal,returned,True
T0000221,20250224,1691,22,3,1,20.11,15,17.09,17.09,6.99,paypal,completed,False
T0000222,20250215,724,73,2,3,340.12,10,918.32,918.32,6.99,credit_card,completed,False
T0000223,20240913,1955,74,4,3,182.05,0,546.15,546.15,4.99,credit_card,completed,False
T0000224,20250410,202,47,2,3,392.86,20,942.86,-942.86,4.99,credit_card,returned,True
T0000225,20240820,1049,143,3,1,110.2,5,104.69,104.69,0.0,credit_card,completed,False
T0000226,20240731,1980,90,1,1,175.36,0,175.36,175.36,4.99,credit_card,completed,False
T0000227,20241013,504,115,5,1,33.73,20,26.98,26.98,4.99,credit_card,completed,False
T0000228,20240706,878,58,1,1,136.28,0,136.28,136.28,3.99,credit_card,completed,False
T0000229,20250531,1252,119,4,2,450.47,10,810.85,810.85,6.99,paypal,completed,False
T0000230,20250211,165,29,2,2,204.96,0,409.92,409.92,6.99,bank_transfer,completed,False
T0000231,20250604,738,129,4,1,400.17,20,320.14,320.14,3.99,paypal,completed,False
T0000232,20241213,376,69,3,3,290.4,20,696.96,696.96,6.99,klarna,completed,False
T0000233,20240721,1294,17,2,1,183.79,20,147.03,147.03,0.0,bank_transfer,completed,False
T0000234,20240818,1889,118,1,2,336.16,20,537.86,537.86,4.99,bank_transfer,completed,False
T0000235,20250115,685,89,3,1,377.97,0,377.97,377.97,4.99,klarna,completed,False
T0000236,20250201,1141,54,1,1,108.51,15,92.23,92.23,0.0,paypal,completed,False
T0000237,20250105,1231,36,2,2,481.56,15,818.65,818.65,6.99,credit_card,completed,False
T0000238,20240723,553,110,5,2,442.79,5,841.3,841.3,6.99,credit_card,completed,False
T0000239,20240908,877,109,2,1,277.36,15,235.76,235.76,4.99,credit_card,completed,False
T0000240,20250122,708,15,1,1,300.39,0,300.39,300.39,0.0,paypal,completed,False
T0000241,20250505,1543,30,4,1,236.95,0,236.95,236.95,4.99,paypal,completed,False
T0000242,20250623,1682,91,1,1,97.87,20,78.3,78.3,4.99,apple_pay,completed,False
T0000243,20240809,31,43,3,2,92.64,0,185.28,-185.28,0.0,bank_transfer,returned,True
T0000246,20240728,202,17,1,1,183.79,20,147.03,147.03,0.0,klarna,completed,False
T0000247,20241015,624,55,2,2,357.21,15,607.26,607.26,6.99,credit_card,completed,False
T0000248,20240703,1551,138,1,2,260.75,10,469.35,469.35,6.99,credit_card,completed,False
T0000249,20250421,602,56,3,1,111.87,0,111.87,111.87,6.99,klarna,completed,False
T0000250,20241114,1243,10,2,1,453.33,15,385.33,385.33,4.99,bank_transfer,completed,False
T0000251,20250206,450,133,1,3,303.67,10,819.91,819.91,6.99,bank_transfer,completed,False
T0000252,20250605,1198,52,4,1,150.44,0,150.44,150.44,6.99,paypal,completed,False
T0000253,20250607,1209,125,3,3,285.52,5,813.73,813.73,4.99,credit_card,completed,False
T0000254,20250221,1005,53,4,1,129.31,5,122.84,122.84,3.99,credit_card,completed,False
T0000255,20240721,1464,135,3,1,90.61,20,72.49,72.49,4.99,paypal,completed,False
T0000256,20241020,404,96,1,2,108.12,0,216.24,216.24,4.99,credit_card,completed,False
T0000257,20241019,398,105,1,3,346.01,10,934.23,934.23,3.99,bank_transfer,completed,False
T0000258,20240903,930,113,1,3,476.1,20,1142.64,1142.64,3.99,credit_card,completed,False
T0000259,20250328,675,57,4,2,155.69,5,295.81,295.81,4.99,paypal,completed,False
T0000260,20240802,1700,19,2,1,178.81,5,169.87,169.87,3.99,credit_card,cancelled,False
T0000261,20240905,1497,22,1,1,20.11,0,20.11,20.11,0.0,credit_card,completed,False
T0000262,20240905,553,13,3,2,448.62,10,807.52,807.52,4.99,klarna,completed,False
T0000263,20250108,1895,74,3,1,182.05,0,182.05,182.05,6.99,paypal,completed,False
T0000264,20240920,129,65,2,1,397.46,10,357.71,357.71,4.99,credit_card,completed,False
T0000265,20250620,1057,52,2,1,150.44,20,120.35,120.35,3.99,paypal,cancelled,False
T0000266,20250217,934,129,5,1,400.17,0,400.17,-400.17,4.99,paypal,returned,True
T0000267,20240905,1659,111,4,2,48.83,20,78.13,78.13,4.99,credit_card,completed,False
T0000268,20250418,1871,149,1,1,166.52,20,133.22,133.22,0.0,paypal,completed,False
T0000269,20250226,362,47,3,1,392.86,0,392.86,392.86,3.99,credit_card,completed,False
T0000271,20241001,205,78,4,3,23.15,5,65.98,65.98,3.99,klarna,completed,False
T0000272,20250626,1901,112,1,2,103.03,0,206.06,206.06,4.99,credit_card,completed,False
T0000273,20240818,199,102,5,1,82.93,0,82.93,82.93,3.99,credit_card,completed,False
T0000275,20241119,1353,99,2,1,302.94,0,302.94,302.94,4.99,paypal,completed,False
T0000277,20241209,1408,68,1,3,150.18,20,360.43,360.43,3.99,paypal,completed,False
T0000278,20250115,1506,79,5,2,40.26,15,68.44,68.44,0.0,bank_transfer,completed,False
T0000279,20240926,17,68,2,2,150.18,10,270.32,270.32,3.99,credit_card,completed,False
T0000280,20250305,1136,15,1,2,300.39,0,600.78,600.78,0.0,klarna,completed,False
T0000281,20250302,1130,31,3,1,277.94,5,264.04,264.04,4.99,paypal,completed,False
T0000283,20240807,1334,125,1,2,285.52,10,513.94,513.94,4.99,apple_pay,cancelled,False
T0000284,20250220,1862,38,1,2,258.62,10,465.52,465.52,0.0,credit_card,cancelled,False
T0000286,20250314,1398,103,4,1,456.95,5,434.1,434.1,3.99,credit_card,completed,False
T0000287,20240727,1030,48,2,2,417.64,0,835.28,835.28,3.99,credit_card,completed,False
T0000288,20250328,754,85,4,1,45.13,0,45.13,45.13,6.99,paypal,completed,False
T0000290,20250505,170,30,2,1,236.95,0,236.95,236.95,6.99,bank_transfer,completed,False
T0000291,20250502,1041,46,2,3,57.89,15,147.62,147.62,0.0,credit_card,completed,False
T0000292,20241020,1888,91,2,2,97.87,20,156.59,-156.59,4.99,klarna,returned,True
T0000293,20250205,1939,116,1,1,484.41,15,411.75,411.75,3.99,credit_card,completed,False
T0000294,20250316,652,43,5,2,92.64,0,185.28,185.28,6.99,paypal,completed,False
T0000295,20250429,1660,74,2,1,182.05,5,172.95,172.95,0.0,klarna,completed,False
T0000296,20241029,136,78,4,2,23.15,15,39.35,39.35,3.99,paypal,completed,False
T0000297,20250227,1850,128,3,1,255.43,15,217.12,217.12,6.99,apple_pay,completed,False
T0000298,20240918,1336,10,3,1,453.33,0,453.33,453.33,3.99,klarna,completed,False
T0000299,20250428,253,62,3,2,392.06,10,705.71,705.71,0.0,bank_transfer,completed,False
T0000300,20250514,554,45,1,1,55.74,0,55.74,55.74,6.99,paypal,completed,False
T0000301,20250424,99,67,1,1,243.21,0,243.21,243.21,4.99,apple_pay,completed,False
T0000303,20240915,1221,41,1,1,402.8,15,342.38,342.38,0.0,paypal,completed,False
T0000304,20240708,1043,104,1,1,332.0,10,298.8,298.8,3.99,credit_card,completed,False
T0000307,20250527,1236,28,1,1,127.42,0,127.42,127.42,3.99,bank_transfer,completed,False
T0000309,20241224,1222,15,3,1,300.39,0,300.39,300.39,3.99,klarna,completed,False
T0000310,20240902,1041,102,1,1,82.93,5,78.78,78.78,4.99,bank_transfer,completed,False
T0000311,20250516,1164,95,1,3,427.39,0,1282.17,1282.17,3.99,credit_card,completed,False
T0000312,20250217,991,138,3,2,260.75,20,417.2,417.2,3.99,paypal,completed,False
T0000313,20241006,179,39,4,3,483.04,5,1376.66,1376.66,0.0,credit_card,completed,False
T0000314,20241005,249,6,1,2,146.07,0,292.14,292.14,4.99,apple_pay,completed,False
T0000316,20250204,1838,130,1,1,339.63,20,271.7,-271.7,0.0,credit_card,returned,True
T0000317,20241113,702,45,2,1,55.74,0,55.74,55.74,4.99,paypal,completed,False
T0000318,20250114,1358,103,2,2,456.95,0,913.9,913.9,4.99,klarna,completed,False
T0000319,20240728,1606,77,1,1,194.61,20,155.69,155.69,6.99,credit_card,cancelled,False
T0000320,20250228,1358,126,1,1,179.46,20,143.57,143.57,6.99,credit_card,completed,False
T0000322,20241130,1180,24,3,1,238.26,10,214.43,214.43,6.99,paypal,completed,False
T0000323,20241003,1200,70,1,3,155.0,0,465.0,465.0,4.99,credit_card,completed,False
T0000324,20250303,1087,110,3,2,442.79,0,885.58,885.58,0.0,klarna,completed,False
T0000325,20250120,184,21,3,1,60.71,0,60.71,60.71,3.99,credit_card,completed,False
T0000326,20241018,423,27,2,2,101.05,15,171.78,-171.78,0.0,paypal,returned,True
T0000327,20250128,1052,19,1,1,178.81,0,178.81,178.81,3.99,paypal,completed,False
T0000329,20240902,1628,25,5,2,46.62,0,93.24,93.24,0.0,apple_pay,completed,False
T0000330,20241015,1158,50,4,1,43.78,0,43.78,-43.78,3.99,credit_card,returned,True
T0000331,20250628,1070,87,1,1,373.8,0,373.8,373.8,3.99,credit_card,completed,False
T0000332,20250210,997,105,1,1,346.01,20,276.81,276.81,6.99,klarna,completed,False
T0000333,20250118,1867,117,4,1,39.16,5,37.2,37.2,6.99,apple_pay,completed,False
T0000335,20240913,1832,123,2,2,253.66,0,507.32,507.32,6.99,apple_pay,completed,False
T0000336,20250614,1538,82,1,3,19.83,0,59.49,59.49,4.99,apple_pay,completed,False
T0000337,20240723,798,67,1,3,243.21,5,693.15,693.15,3.99,credit_card,completed,False
T0000338,20250527,1587,93,3,1,50.43,0,50.43,50.43,3.99,paypal,completed,False
T0000339,20250602,1406,31,1,2,277.94,0,555.88,555.88,0.0,paypal,completed,False
T0000340,20250228,1000,140,2,1,343.34,5,326.17,326.17,0.0,credit_card,completed,False
T0000341,20241031,600,71,1,3,105.89,0,317.67,317.67,3.99,klarna,cancelled,False
